segment_km,health_score,severity,surveys_present,compounded,score_cipl,score_ili,score_dcvg,score_cat,score_soil,score_dci
159.7,100.0,Healthy,1,False,,100.0,,,,
159.8,100.0,Healthy,1,False,,100.0,,,,
159.9,100.0,Healthy,2,False,100.0,100.0,,,,
160.0,95.6,Healthy,2,False,,100.0,,,65.0,
160.1,100.0,Healthy,1,False,,100.0,,,,
160.2,100.0,Healthy,1,False,,100.0,,,,
160.3,99.9,Healthy,3,False,,100.0,100.0,99.5,,
160.4,99.9,Healthy,3,False,,100.0,100.0,99.5,,
160.5,99.9,Healthy,3,False,,100.0,100.0,99.5,,
160.6,99.9,Healthy,4,False,100.0,100.0,100.0,99.5,,
160.7,99.9,Healthy,3,False,,100.0,100.0,99.5,,
160.8,99.9,Healthy,3,False,,100.0,100.0,99.5,,
160.9,99.9,Healthy,3,False,,100.0,100.0,99.5,,
161.0,97.4,Healthy,4,False,,100.0,100.0,99.5,65.0,
161.1,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.2,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.3,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.4,99.5,Healthy,4,False,100.0,100.0,100.0,95.3,,
161.5,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.6,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.7,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.8,99.3,Healthy,3,False,,100.0,100.0,95.3,,
161.9,99.3,Healthy,3,False,,100.0,100.0,95.3,,
162.0,98.3,Healthy,4,False,,100.0,100.0,95.3,85.0,
162.1,99.5,Healthy,4,False,100.0,100.0,100.0,95.3,,
162.2,99.3,Healthy,3,False,,100.0,100.0,95.3,,
162.3,88.9,Healthy,3,False,,100.0,100.0,27.5,,
162.4,86.8,Healthy,3,False,,100.0,100.0,14.0,,
162.5,86.8,Healthy,3,False,,100.0,100.0,14.0,,
162.6,88.1,Healthy,4,False,,100.0,100.0,22.5,,88.0
162.7,100.0,Healthy,3,False,,100.0,100.0,100.0,,
162.8,100.0,Healthy,3,False,,100.0,100.0,100.0,,
162.9,100.0,Healthy,4,False,100.0,100.0,100.0,100.0,,
163.0,97.5,Healthy,4,False,,100.0,100.0,100.0,65.0,
163.1,96.7,Healthy,3,False,,100.0,100.0,78.5,,
163.2,96.7,Healthy,3,False,,100.0,100.0,78.5,,
163.3,96.7,Healthy,3,False,,100.0,100.0,78.5,,
163.4,96.7,Healthy,3,False,,100.0,100.0,78.5,,
163.5,72.5,Watch,3,False,,55.0,100.0,78.5,,
163.6,97.5,Healthy,4,False,100.0,100.0,100.0,78.5,,
163.7,96.7,Healthy,3,False,,100.0,100.0,78.5,,
163.8,96.7,Healthy,3,False,,100.0,100.0,78.5,,
163.9,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.0,94.4,Healthy,4,False,,100.0,100.0,78.5,65.0,
164.1,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.2,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.3,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.4,97.5,Healthy,4,False,100.0,100.0,100.0,78.5,,
164.5,92.5,Healthy,4,False,,100.0,100.0,78.5,,65.3
164.6,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.7,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.8,96.7,Healthy,3,False,,100.0,100.0,78.5,,
164.9,85.2,Healthy,3,False,,100.0,62.6,78.5,,
